Ticker,Price at Start,Price at End,Percentage Change
20MICRONS.NS,82.44999694824219,96.6500015258789,17.22256531622523
3MINDIA.NS,23927.44921875,26529.349609375,10.874123550896941
360ONE.NS,401.3500061035156,419.70001220703125,4.572070717443273
21STCENMGM.NS,18.799999237060547,18.649999618530273,-0.7978703437103248
3IINFOLTD.NS,33.04999923706055,32.099998474121094,-2.87443505255568
3IINFOLTD.NS,33.04999923706055,32.099998474121094,-2.87443505255568
21STCENMGM.NS,18.799999237060547,18.649999618530273,-0.7978703437103248
360ONE.NS,401.3500061035156,419.70001220703125,4.572070717443273
3MINDIA.NS,23927.44921875,26529.349609375,10.874123550896941
20MICRONS.NS,82.44999694824219,96.6500015258789,17.22256531622523
